Unnamed: 0,article_id,og_url,og_source_name,og_source_url,og_title,og_subtitle,og_publish_date,og_content,og_top_image_url,og_top_image_caption,og_created_at,og_tags,regxdt_accident_datetime,llm_is_accident,llm_street,llm_city,llm_number_injured,llm_accident_severity,llm__vehicle_type,llm_vehicle_damage_severity,llm_driver_age,llm_driver_gender,llm_is_victim,regxdt_accident_datetime_norm,llm_street_norm,llm_city_norm,llm__vehicle_type_norm,potential_duplicate_article_id,previous_duplicate_article_ids
28,3938,https://timesofmalta.com/article/carbus-collision-caused-long-traffic-jam-regional-road.1102822,Times of Malta,https://timesofmalta.com,Bus driver critically injured in crash with van on Regional Road,The accident caused long tailbacks on Monday,2024-12-23,"A bus driver, 37, was critically injured in a collision with a van on the Regional Road on Monday morning.  The accident happened at 10.30am on a southbound lane just after the tunnels. The bus, which was not carrying passengers, ended up straddling the centre strip and debris was spread over a wide area, causing the closure of busy traffic lanes. An eyewitness said she saw the bus driver lying on the road with blood on his head. The van was driven by a 39-year-old woman from Naxxar who was not seriously hurt.",https://cdn-attachments.timesofmalta.com/9c0bc4b729b2a24da20055074e96cc4a0a9d3e5c-1734951586-e04d003a-1920x1280.jpg,The van damaged in the Regional Road accident. Photo Johnathan Borg.,2025-07-03 15:13:11.872025+00,"{National,Traffic}",2024-12-23 10:30:00,True,Regional Road,none,2,Serious,bus,Major,37,none,True,2024-12-2310:30:00,regionalroad,none,bus,True,[3910]
29,3938,https://timesofmalta.com/article/carbus-collision-caused-long-traffic-jam-regional-road.1102822,Times of Malta,https://timesofmalta.com,Bus driver critically injured in crash with van on Regional Road,The accident caused long tailbacks on Monday,2024-12-23,"A bus driver, 37, was critically injured in a collision with a van on the Regional Road on Monday morning.  The accident happened at 10.30am on a southbound lane just after the tunnels. The bus, which was not carrying passengers, ended up straddling the centre strip and debris was spread over a wide area, causing the closure of busy traffic lanes. An eyewitness said she saw the bus driver lying on the road with blood on his head. The van was driven by a 39-year-old woman from Naxxar who was not seriously hurt.",https://cdn-attachments.timesofmalta.com/9c0bc4b729b2a24da20055074e96cc4a0a9d3e5c-1734951586-e04d003a-1920x1280.jpg,The van damaged in the Regional Road accident. Photo Johnathan Borg.,2025-07-03 15:13:11.872025+00,"{National,Traffic}",2024-12-23 10:30:00,True,Regional Road,none,2,Serious,van,Minor,39,F,True,2024-12-2310:30:00,regionalroad,none,van,True,[3910]
53,3635,https://timesofmalta.com/article/watch-road-safety-bureau-proposals-unveiled-yearlong-delay.1103631,Times of Malta,https://timesofmalta.com,Watch: Road Safety Bureau proposals to be unveiled after year-long delay,Minister says legislative changes will be needed,2025-01-13,"The Transport Ministry is set to present its ideas for the establishment of a road safety bureau in the coming weeks, more than a year after the bureau was meant to be operational. The Transport Safety Investigative Commission will be tasked to investigate the causes of serious road accidents.  Minister Chris Bonett said on Monday that his ministry was holding talks with the Ministry of Justice and the Ministry of Home Affairs on the setting up of the bureau. “In the coming weeks, we will present the first ideas on the bureau,” Bonett said when questioned, saying that changes to laws will be required.    At present, magisterial inquiries and police investigations are the only tools available for the investigation of road accidents in Malta. Their findings typically remain confidential, which has drawn criticism from various quarters. Victims’ families, insurers, and medical associations have condemned the delay in establishing the bureau, describing it as symptomatic of road safety being sidelined. During the press conference, Bonett also urged drivers to observe traffic rules and treat one another with respect. “We must ensure that such bureaus and road safety councils are needed as little as possible,” he said.",https://cdn-attachments.timesofmalta.com/f61d13ee30944b0f143553bbe8adcf0a96a94d68-1736776627-0dd63ba7-1920x1280.jpg,Photo: Matthew Mirabelli,2025-07-03 15:11:54.30228+00,"{Accident,National,Roads,Transport}",2025-01-13 00:00:00,False,,,,,,,,,,2025-01-1300:00:00,nan,nan,nan,True,[3615]
63,3563,https://timesofmalta.com/article/drivers-fume-large-pothole-leaves-trail-flat-tyres-birkirkara.1103856,Times of Malta,https://timesofmalta.com,Drivers fume as large pothole leaves trail of flat tyres in Iklin,Heavy rainfall carves out potholes just off Birkirkara bypass,2025-01-17,"More than a dozen cars sustained flat tyres on Friday afternoon after heavy rains carved out a massive pothole on a busy road. Frustrated motorists contacted Times of Malta to report vehicle damage as they drove through Triq il-Għargħur in Iklin, corner with Triq Dun Karm, near the Scan outlet. “It’s mayhem here. Drivers are getting out of their cars, furious,” one motorist said, describing the chaotic scene. One driver counted at least 12 cars sustaining flat tyres though he was sure others had simply driven on not realising the damage. Despite calls to the authorities to repair the pothole or divert traffic, no action had been taken by 4.30pm, leaving hundreds of drivers to navigate the treacherous road or rely on sheer luck.  A motorist claimed the pothole had been present for weeks, but Friday’s heavy rain worsened the damage, while the flowing water concealed the hazard from drivers. Malta was battered by gale-force winds earlier in the day before a sudden downpour caused widespread flooding, worsening road conditions.",https://cdn-attachments.timesofmalta.com/b23b18c98c9b40b5a1f276a3dcf035d3aabe8133-1737128792-e47af554-1920x1280.jpeg,One of the cars was towed away.,2025-07-03 15:11:35.542695+00,"{Accident,Birkirkara,National}",2025-01-17 00:00:00,False,,,,,,,,,,2025-01-1700:00:00,nan,nan,nan,True,[3443]
140,2028,https://timesofmalta.com/article/here-10-maltese-roads-likely-get-ticket.1107599,Times of Malta,https://timesofmalta.com,Here are the 10 Maltese roads where you’re most likely to get a fine from TM,Chris Bonett answers a parliamentary question put forward by Jerome Caruana Cilia,2025-04-03,"The road from the Valletta World War II monument to Castille is the street that saw the most traffic fines being issued by Transport Malta in the first quarter of last year. The list does not include traffic fines issued by police and LESA. Data provided to parliament by Transport Minister Chris Bonett shows that 102 contraventions were given out on Triq Girolamo Cassar in January, February, and March, 2024. The 100 infringements issued on a street in the Corradino Industrial Estate, It-Telgħa ta’ Ras Ħanżir, made it the second street where most tickets were issued.  Ninety-one tickets were handed out at the airport, the data shows. Bonett was answering a parliamentary question put forward by PN MP Jerome Caruana Cilia, who asked for the 10 roads in Malta where the most citations were issued during the first three months of 2024. A spokesperson for the ministry clarified the data presented reflects fines issued solely by Transport Malta. Also featuring in the list is Triq Giuseppe Garibaldi – Marsa (79), Triq il-Mitjar – Luqa (73), Triq San Pawl – Valletta (62), Coast Road – Naxxar (56), Ħemsija – Rabat (51), Triq Elija Zammit – St Julian’s (46), Triq il-Buqana – Rabat (43).",https://cdn-attachments.timesofmalta.com/d37e0f06db4dc768b46df2d9a693dbb58e159398-1743686917-f4675a22-1920x1280.png,The data provided to parliament.,2025-07-03 15:05:01.35098+00,"{National,Traffic,Transport}",2025-04-03 00:00:00,False,,,,,,,,,,2025-04-0300:00:00,nan,nan,nan,True,[2022]
142,2040,https://timesofmalta.com/article/bonett-reverses-decision-raise-age-requirement-vintage-cars.1107595,Times of Malta,https://timesofmalta.com,Bonett reverses decision to raise age requirement for vintage cars,"'I admit we were a bit hasty with the measure', says the transport minister",2025-04-03,"Updated 9.30pm Chris Bonett has reversed his decision to raise the age requirement for cars to be considered 'vintage'. Speaking in a Times Talk episode that will be released next week, the Transport Minister said that after consulting with classic car enthusiasts he realised he ""may have jumped the gun"" when he announced the measure. ""I admit we were a bit hasty with that measure. I don't mind admitting that, and I don't think it's a sign of weakness to admit a mistake. Rather, it shows you're serious,"" he said. ""I still agree with the measure but I may have jumped the gun when I announced it. We want to protect the hobby of vintage cars while making sure nobody abuses the system."" Currently, cars that are older than 30 years are exempted from annual licence fees and must only pay an annual €8 administrative fee, provided the vehicle does not exceed 3,000 kilometres per year. Vintage vehicles are marked on Maltese roads with a black number plate. But the authorities observed that some drivers were passing off their old cars as 'vintage', managing to pay very low licence fees for a car they use every day and which is not a classic car at all. Moreover, 'hundreds' of old, second-hand vehicles are being imported every year and registered as vintage cars but used as ordinary cars for every day transportation by abusing the loophole in the system. Last week, as part of a raft of measures aimed at tackling Malta's chronic traffic congestion, Bonett announced the government would curb vintage car abuse by introducing a measure that stipulates that vehicles must be 35 years old to qualify for a black number plate and that they will be subject to inspections. But during the filming of Times Talk on Thursday, Bonett told Times of Malta he will amend that measure and that he takes full responsibility for the oversight. ""We're not after people's hobbies,"" he said. ""We only need to make sure that the fees for classic car enthusiasts are not abused by people who want to keep their junk cars on the road."" Later on Thursday the Minister said on Facebook that there was an agreement on the decision following a meeting with the Maltese Vintage Vehicle Federation.  ""The purpose of the meeting was to understand where we want to go as a Government, to remove from our roads ordinary cars that are being used under the guise of being 'vintage' and abusing the system, while protecting those who invest in truly classic cars,"" he wrote. ""We agreed on everything, and in the coming weeks, after the necessary legal work is done, we will announce how the reform, which everyone agrees we need, will work. ""What I can anticipate from now is that we are satisfied that we can achieve our goal without raising the car age requirement from 30 to 35 years. In fact, we will introduce measures that will strengthen this hobby."" Unplanned measures - PN One hour after the Nationalist Party held a press conference in Msida on Thursday criticising the government's proposals, transport minister Chris Bonett admitted he had changed his mind about the vintage car scheme, the Opposition said. In a statement, the PN said this ""further confirmed just how Saturday's anouncement was unplanned and without consultation."" ""Bonett reversed this measure following the pressure made by the Opposition in the last days in parliament and outside,"" the PN said.",https://cdn-attachments.timesofmalta.com/3959182accfdd068b12ee2aaf6eeb7dd233bd8c6-1743688415-efac259f-1920x1280.png,Times Talk with Chris Bonett will be released next week. Photo: Karl Andrew Micallef,2025-07-03 15:05:04.648591+00,"{National,Podcast,Timestalk,Traffic,Transport}",2025-04-03 00:00:00,False,,,,,,,,,,2025-04-0300:00:00,nan,nan,nan,True,"[2022, 2028]"
169,1388,https://timesofmalta.com/article/traffic-disruptions-st-julian-sliema-amid-ongoing-cable-works.1109252,Times of Malta,https://timesofmalta.com,"Traffic disruptions in St Julian's, Sliema amid ongoing cable works",Part of Ċensu Tabone Street closed until May 16,2025-05-06,"A stretch of Ċensu Tabone Street, from St Julian’s to Sliema, has been closed to traffic due to underground cabling works, sparking traffic disruptions in the area. The works are being carried out by Enemalta to strengthen the electricity distribution system.  Work began on a section of Tower Road in Sliema on Monday. Traffic coming from the direction of St Julian’s is being diverted through Triq Anglu Mikiel Borg, although vehicles coming from Sliema are not affected. A motorist described the situation on Monday night and Tuesday morning as “chaotic,” saying traffic from St Julian’s to Sliema, from the Spinola Love Sign all the way through Regional Road, was spilling out into all possible exits. A lot of the traffic chaos appears to be centred near the Neptunes Waterpolo pitch.  By noon on Tuesday, however, traffic in the area had begun to ease and had become more localised.",https://cdn-attachments.timesofmalta.com/15c2eb1ed94628023543d8de921aaf6cac7b1bda-1746528910-52b241a8-1920x1280.jpg,It's no entry from the road next to Love Monument in Spinola.,2025-07-03 15:02:09.470511+00,"{National,Sliema,""St Julian’S"",Traffic}",2025-05-05 00:00:00,False,,,,,,,,,,2025-05-0500:00:00,nan,nan,nan,True,[1387]
228,53,https://timesofmalta.com/article/widelyrespected-diver-dione-galdes-dies-sunday-accident.1112313,Times of Malta,https://timesofmalta.com,Widely-respected diver Dione Galdes dies after Sunday accident,'His passion for diving was matched only by his dedication to sharing it with others',2025-07-01,"A 59-year-old diver has succumbed to injuries he suffered in an accident in Cirkewwa early on Sunday. The police confirmed his death on Tuesday morning at Mater Dei Hospital. Dione Galdes an experienced diving instructor from Iklin, was widely respected in the diving community.  ""Dione was not only a skilled diving instructor but also a trusted mentor, a generous advisor, and a true companion to all who had the privilege of knowing him,"" said Andrew P Zammit chairman, Calypso Subaqua Club in a Facebook tribute. ""His calm, approachable nature made him easy to work with, and his passion for diving was matched only by his dedication to sharing it with others."" He said that over the years Dione gave tirelessly of his time and expertise—supporting the club with teaching, technical guidance, and unwavering friendship. ""Many of us took our first underwater breaths under his care, and countless divers carry a part of his legacy in their training and love for the sport. His absence leaves a deep void in our community, but his spirit, his laughter, and his wisdom will remain with us always."" Magistrate Ian Farrugia is leading an investigation.",https://cdn-attachments.timesofmalta.com/fda0cf9c2d98e3a9060c3a68485a0c4b4506914b-1751352219-bd0fe2c5-1920x1280.jpg,Photo: Facebook/Calypso Sub-Aqua Club.,2025-07-02 10:10:10.935182+00,"{Accident,National}",2025-07-01 00:00:00,False,,,,,,,,,,2025-07-0100:00:00,nan,nan,nan,True,[42]
281,467297,https://timesofmalta.com/article/1000-requests-emergency-ambulances-five-days.1113933,Times of Malta,https://timesofmalta.com,"1,000 requests for emergency ambulances in five days",Emergency doctor Michael Spiteri calls on people to be more sensitive and avoid filming or photographing accidents,2025-07-31,"The emergency services were called to assist 1,000 people over five days with cases ranging from fatal and life-threatening accidents to people who consumed too much alcohol, emergency doctor Michael Spiteri has said. Speaking on TVM news, Spiteri noted that between Thursday and Monday, the emergency ambulance service attended over 200 cases daily. “Half of the 1,000 calls for assistance included people with serious problems [who did not need immediate medical assistance for survival], and 10% of them were in a critical situation in which, a few minutes could make a difference between life and death”, he said. Spiteri appealed to people who happened to be passing near an accident, to keep away from the site in order not to disrupt the emergency doctors. He called for more sensitivity and for people not to film or photograph accidents, saying this caused psychological damage to patients and their relatives. Over the past days, there were five fatalities on the road. On Saturday, a 27-year-old motorcyclist — Bulgarian Tenyo Kosev — was killed when his bike was involved in a crash with a BMW in Pembroke in the early hours of the morning. The following day, a woman died in a head-on crash in Fgura that also involved former president George Abela and his wife. A motorcyclist died in Pietà a few hours later. And on Sunday, evening mother-of-four, Mildred Azzopardi, died when she was trapped between two cars in a crash. A 23-year-old soldier has been charged with involuntary homicide for her death. On Tuesday, 63-year-old Tallinja driving instructor Karmenu Muscat, died after a bus rolled back on him at the Floriana Park and Ride facility at around 1.45 pm.",https://cdn-attachments.timesofmalta.com/e85e2ff047ba17964e740c6dc7f39d37bb210115-1753956144-97180e31-1920x1280.jpg,"The emergency services received 1,000 calls in five days. Photo: Matthew Mirabelli",2025-07-31 10:48:11.814451+00,"{Accident,National}",2025-07-29 00:00:00,False,,,,,,,,,,2025-07-2900:00:00,nan,nan,nan,True,[467185]
292,489728,https://timesofmalta.com/article/eight-year-old-two-motorcyclists-seriously-injured-two-accidents.1114276,Times of Malta,https://timesofmalta.com,Eight-year-old and two motorcyclists seriously injured in two traffic accidents,The accidents took place in Naxxar and Żabbar,2025-08-07,"Two motorcycle drivers and an eight-year-old boy were taken to hospital yesterday with serious injuries following traffic accidents in Naxxar and Żabbar. The first accident occurred at around 11.30 am, when a Nooma Bravo GLE motorbike driven by a 48-year-old Bulgarian resident of St. Paul’s Bay was involved in a collision with a Hyundai I10 driven by a 60-year-old Spaniard on Triq is-Salina in Naxxar. The second accident took place around an hour later on Triq Bormla in Żabbar, when a Fiat Scudo driven by a 23-year-old man from Kirkop and a Honda NSS motorbike driven by a 45-year-old man from Żabbar, with an eight-year-old boy riding as passenger, collided. All those involved were treated at the scene, with both motorcycle drivers and the eight-year-old boy taken to Mater Dei Hospital, where their injuries were certified as serious. Police investigations are ongoing.",https://cdn-attachments.timesofmalta.com/a98c6b1c03bbf0deb1d9124298a6963d145cd8b4-1754550294-ae28fc08-1920x1280.jpeg,Two motorcyclists and an eight-year-old boy were taken to hospital with serious injuries. File photo.,2025-08-07 08:07:23.746151+00,"{Accident,National,Naxxar,Żabbar}",2025-08-06 00:00:00,True,,,,,,,,,,2025-08-0600:00:00,nan,nan,nan,True,[489720]
330,490929,https://timesofmalta.com/article/mhra-backs-calls-random-roadside-testing-drugs-alcohol.1114914,Times of Malta,https://timesofmalta.com,MHRA backs calls for random roadside testing for drugs and alcohol,Hotel and restaurant lobby says 'time for action is now',2025-08-20,"The Malta Hotels and Restaurants Association (MHRA) has come out in favour of revising laws to allow police to conduct random roadside drug and alcohol checks.  Calls for a change in legislation have been amplified in recent weeks following a spate of fatal or serious crashes involving alcohol or drug-impaired drivers.  Currently, police can only breathalyse drivers if they have a ""reasonable suspicion"" that drivers are under the influence. Police are only equipped with alcohol breathalysers.  In a statement published on Tuesday, MHRA said it backed a call by emergency doctor Jonathan Joslin, who called for random testing of motorists in a Times of Malta opinion piece published on Monday.  Joslin warned MPs that if they did not revise the law, they would have to bear moral responsibility for any ensuing road deaths in which drugs or alcohol are involved.  The MHRA called for the government and MPs to heed Joslin's call, highlighting how the ""time for action is now"". ""MHRA stresses that for a country like Malta, where tourism is a cornerstone of the economy, safety is not opitional, it is essential,"" the statement read. The Insurance Association Malta has also backed the doctor's call for random drug and alcohol testing of motorists.  ""A safe environment on our roads is just as important as the quality of our hotels, restaurants, and attractions. Tourists choose destinations where they can enjoy themselves with peace of mind, and residents deserve the same assurance every day."" MHRA said that random roadside testing would send a clear message that the country people can visit confidently and enjoy responsibly.  ""Such measures do not restrict enjoyment, they raise the standard of living and hospitality for everyone.""  The past few weeks have seen a string of road accidents and deaths linked to drink-driving.  On Monday, a woman involved in a collision that left a motorcyclist critically injured on Sunday was six times over the legal alcohol limit at the time.  In another recent case, a 42-year-old food courier from Nepal was killed when his motorcycle was hit by a Maserati car in Santa Venera. A 17-year-old driver was later charged after fleeing the scene, and pleaded not guilty to driving under the influence.  Mother-of-four Mildred Azzopardi was killed when she was caught between two cars after a car driven by a soldier crashed into a stationary vehicle in Valletta. The driver, Benjamin Chetcuti, is charged with involuntary homicide, driving under the influence and grievously injuring another man through negligence.",https://cdn-attachments.timesofmalta.com/556b2790f7f745df581ae24999a69a820808c664-1755680949-5457ba19-1920x1280.jpg,Hoteliers back doctors call for random roadside testing for drugs and alcohol following a spike in road accidents linked to driving under the influence. Photo: Matthew Mirabelli,2025-08-20 09:31:24.270839+00,"{Legislation,National,Tourism,Traffic,Transport}",2025-08-18 00:00:00,False,,,,,,,,,,2025-08-1800:00:00,nan,nan,nan,True,[490742]
333,491047,https://timesofmalta.com/article/catering-establishments-join-calls-random-substance-testing.1114965,Times of Malta,https://timesofmalta.com,Catering establishments join calls for random substance testing,Caterers' association joins hotels and insurers in backing random testing,2025-08-21,"The Association of Catering Establishments (ACE) has joined a chorus of voices calling for the introduction of random drug and alcohol tests of motorists.   Currently, police can only breathalyse drivers if they have ""reasonable suspicion"" that drivers are under the influence. Police are only equipped with alcohol breathalysers.  Calls for a change in legislation have been amplified in recent weeks following a series of fatal or serious crashes involving alcohol or drug-impaired drivers.   The association referred to “alarming” data compiled in 2022 by the Insurance Association Malta, which is also in favour of random testing, that revealed breathalyser tests were only used in around three per cent of serious traffic accidents.  “This data clearly highlights the need for a revision in the current legislation,” ACE said.  The organisation referred to a recent opinion piece published in Times of Malta by emergency doctor Jonathan Joslin, who wrote that members of parliament would bear moral responsibility for future road deaths involving drugs and alcohol should the law remain unchanged. ACE added that it also supported calls by Caritas for strict ID card checks in supermarkets, groceries and catering establishments.  “Above all, ACE also supports the recent call for a public education campaign aimed at clarifying the risks associated with alcohol consumption and driving to remind the public that any amount of alcohol in the bloodstream can impair their ability to drive safely.”  The association stressed that road safety is a collective effort which calls on government, legislators, political parties, civil society and individuals to ensure safer roads, better enforcement and fewer deaths.  On Monday, the Malta Hotels and Restaurants Association also came out in support of revising laws to allow police to conduct random substance testing.  ""MHRA stresses that for a country like Malta, where tourism is a cornerstone of the economy, safety is not optional; it is essential,"" the association said.  In a recent inquiry into the death of a motorcyclist who was found to have cocaine in his system, Magistrate Joe Mifsud endorsed a 2023 position paper co-written by NGO Doctors For Road Safety, the Maltese Association of Psychiatry and the Foundation for Welfare Services on drug-driving under the influence of psychoactive drugs.   Mifsud endorsed each of the paper’s eight recommendations, including the introduction of a legal framework to enable random drug testing for psychoactive substances, as well as the random screening of professional drivers, such as taxi, school bus, coach and heavy machinery drivers.",https://cdn-attachments.timesofmalta.com/cf2760b36a1af4450b72b4f1fc0371805d5827da-1755767096-c2ca6b93-1920x1280.jpg,"Currently, police can only administer a breathalyser test if they have reasonable suspicion that a motorist is intoxicated. Photo: Shutterstock.",2025-08-21 10:01:56.907884+00,"{Catering,Legislation,National,Traffic,Transport}",2025-08-18 00:00:00,False,,,,,,,,,,2025-08-1800:00:00,nan,nan,nan,True,"[490742, 490929]"
340,491307,https://timesofmalta.com/article/over-day-later-police-still-searching-driver-fled-birkirkara-crash.1115104,Times of Malta,https://timesofmalta.com,"Over a day later, police still searching for driver who fled Birkirkara crash",The Friday morning accident left a motorcyclist with serious injuries,2025-08-23,"Over 24 hours after a collision between a motorcycle and a car left a biker with serious injuries, police are still looking for the car driver who fled the scene of the accident. A 57-year-old man from Msida, who was riding a Honda motorbike, was involved in a collision with a Nissan March at 5.30am on Friday on Sir Anthony Mamo Street in Birkirkara. Police had said that a 25-year old woman, who is now understood to have been the passenger in the Nissan, was taken to hospital in a state of shock. She was otherwise uninjured. However, the male driver of the Nissan allegedly fled the scene of the accident. On Saturday afternoon, police confirmed they are still looking for the man as investigations into the accident continue. Magistrate Monica Borg Galea has launched an inquiry.",https://cdn-attachments.timesofmalta.com/6d18cff44329f51a18b02495b2e1315d91902e52-1755953452-2d10c9b7-1920x1280.jpg,The white Nissan March was involved in a collision with a motorbike in Birkirkara early on Friday morning. The car driver fled the scene and is still on the run. Photos: Malta Police Force,2025-08-23 13:23:47.424157+00,"{Accident,Birkirkara,National,Police}",2025-08-22 05:30:00,True,Sir Anthony Mamo Street,Birkirkara,1,Serious,Car,none,none,M,False,2025-08-2205:30:00,siranthonymamostreet,birkirkara,car,True,[491226]
