id,street,city,accident_datetime,street_latitude,street_longitude
article_496362.0,triq l-imgarr,ghajnsielem,2025-10-10 09:00:00,36.02573,14.29241
article_496274.0,triq sant anna,floriana,2025-10-09 13:00:00,35.8928626,14.5072523
article_496202.0,triq il-belt valletta,zurrieq,2025-10-09 09:30:00,35.8350408,14.4748324
article_496206.0,paola roundabout,paola,2025-10-09 00:00:00,,
release_52,triq il-kappella ta xaghra,naxxar,2025-10-06 09:30:00,35.91592,14.44063
article_496006.0,saqqajja hill roundabout,rabat,2025-10-05 00:00:00,35.88498,14.39863
release_28,triq dawret il-gudja,gudja,2025-10-04 23:00:00,35.84692,14.49538
release_93,triq ta lawrenti,siggiewi,2025-10-04 14:30:00,35.83388,14.43712
release_94,triq sant andrija,st julians,2025-10-04 08:45:00,35.9234324,14.4824207
release_87,triq l-imgarr,qala,2025-10-02 05:30:00,36.02573,14.29241
article_495442.0,mriehel bypass,hal qormi,2025-10-02 00:00:00,35.8881938,14.4639337
release_92,triq ghar dalam,birzebbuga,2025-09-28 10:00:00,35.8417603,14.5279126
article_494910.0,triq sant antnin,marsascala,2025-09-25 18:00:00,35.862551,14.5587173
release_66,republic street,victoria,2025-09-25 14:15:00,36.0442596,14.2429687
release_39,triq marsalforn,zebbug,2025-09-24 08:00:00,36.0613833,14.2551875
article_494571.0,bella vista street,san gwann,2025-09-22 19:00:00,35.907253,14.4720292
article_494438.0,sa maison,pieta',2025-09-21 08:30:00,35.90041,14.49378
release_82,triq l-gharb,gharb,2025-09-20 13:30:00,36.0527615,14.2205279
article_494209.0,triq san gwann t'ghuxa,bormla,2025-09-18 20:45:00,35.8777552,14.5191598
release_30,triq il-mina ta hompesch,haz-zabbar,2025-09-16 23:30:00,35.8719308,14.5295125
release_36,triq san pawl,st pauls bay,2025-09-16 19:30:00,35.9467503,14.3916683
article_493898.0,republic street,victoria,2025-09-16 12:15:00,36.0442596,14.2429687
article_493702.0,triq bajada,zabbar,2025-09-14 13:30:00,35.8732767,14.5337517
article_493670.0,st pauls roundabout,san pawl,2025-09-13 23:00:00,35.95061,14.41462
release_20,triq il-perit dom mintoff,paola,2025-09-13 21:00:00,35.87596,14.51231
article_493670.5,triq mikiel anton vassalli,msida,2025-09-13 13:30:00,35.8981962,14.4867393
article_493664.0,triq il-perit dom mintoff,paola,2025-09-13 00:00:00,35.87596,14.51231
article_493598.0,triq isouard,marsa,2025-09-12 00:00:00,36.0442596,14.2429687
article_493372.0,dun karm street,msida,2025-09-11 07:30:00,35.9003979,14.4751653
article_493212.0,wignacourt aqueduct,birkirkara,2025-09-09 00:00:00,35.8931239,14.460722
article_493044.0,triq l-ewwel titjira,luqa,2025-09-07 13:30:00,35.85691,14.48654
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.89761,14.49392
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.9016199,14.4948208
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.89761,14.49392
article_492806.0,triq ix-xatt,gzira,2025-09-04 18:15:00,35.9016199,14.4948208
article_492291.0,triq l-imdina,qormi,2025-08-31 07:30:00,35.874767,14.4608589
article_492115.0,triq emmanuele luigi galizia,marsa,2025-08-29 15:15:00,35.8740167,14.4832063
article_491707.0,attard road,zebbug,2025-08-26 18:30:00,35.8828703,14.4401592
article_491557.0,tower road,sliema,2025-08-26 05:10:00,35.9148787,14.497752
release_95,triq sir anthony mamo,birkirkara,2025-08-22 05:30:00,35.9000642,14.4750873
article_491118.0,tower road,sliema,2025-08-21 06:00:00,35.9148787,14.497752
article_491011.0,tower road,sliema,2025-08-21 05:30:00,35.9148787,14.497752
release_38,luqa road,paola,2025-08-19 16:00:00,35.8628353,14.498719
article_490815.0,triq hal luqa,rahal il-gdid,2025-08-18 16:00:00,35.8628353,14.498719
article_490815.0,triq hal luqa,rahal il-gdid,2025-08-18 16:00:00,35.8628353,14.498719
article_490697.0,triq ix-xatt juan b. azopardo,senglea,2025-08-18 00:00:00,35.88794,14.51784
release_57,coast road,naxxar,2025-08-17 16:00:00,35.9462438,14.4481762
article_489339.0,triq aldo moro,marsa,2025-08-14 15:30:00,35.8772393,14.4948062
article_490653.0,triq sant andrija,pembroke,2025-08-14 09:00:00,35.9234324,14.4824207
article_490568.0,triq sant andrija,pembroke,2025-08-14 05:30:00,35.9234324,14.4824207
article_490165.0,st luke's square,guardamangia,2025-08-12 07:00:00,35.88492,14.48063
release_53,mosta road,mgarr,2025-08-11 19:00:00,35.9046481,14.4443042
article_489993.0,mosta road,mgarr,2025-08-10 19:00:00,35.9046481,14.4443042
article_489884.0,triq nazzjonali,floriana,2025-08-10 09:00:00,35.9034355,14.4867323
article_489878.0,triq salvu psaila,birkirkara,2025-08-10 05:20:00,35.8946852,14.4696987
article_490073.0,psaila street,sta venera,2025-08-10 05:20:00,35.8946852,14.4696987
article_490010.0,triq il-pellikan,san gwann,2025-08-09 07:30:00,35.91172,14.47628
article_467110.0,triq dawret hal ghaxaq,hal ghaxaq,2025-08-08 15:30:00,35.848783,14.5251465
release_550,cospicua road,zabbar,2025-08-07 12:30:00,35.8739795,14.5085618
release_55,salina street,naxxar,2025-08-07 11:30:00,35.9369975,14.4339269
article_489733.0,cannon road,santa venera,2025-08-07 08:00:00,35.8875617,14.4745003
article_489990.0,canon road,santa venera,2025-08-07 00:00:00,35.8875617,14.4745003
article_467164.0,floriana park and ride,floriana,2025-08-06 15:30:00,35.88811,14.50119
article_489728.5,triq bormla,naxxar,2025-08-06 12:30:00,35.87241,14.53628
article_489728.0,triq is-salin,naxxar,2025-08-06 11:30:00,35.9369975,14.4339269
article_489370.0,triq il-mosta,lija,2025-08-04 17:00:00,35.9046481,14.4443042
article_489370.0,triq il-mosta,lija,2025-08-04 17:00:00,35.90084,14.44863
article_467167.0,ta' liesse,valletta,2025-08-04 15:30:00,35.8953521,14.5135698
release_67,triq ix-xatt ta xbiex,ta xbiex,2025-08-04 07:45:00,35.9016199,14.4948208
release_8,triq tal-barrani,zejtun,2025-08-03 08:15:00,35.85431,14.52877
article_451726.0,floriana park and ride facility,floriana,2025-08-02 15:30:00,35.88811,14.50119
article_386315.0,ta' liesse,valletta,2025-07-31 15:30:00,35.8953521,14.5135698
article_386182.0,marina street,pieta',2025-07-30 15:30:00,35.89866,14.49244
release_4,triq dawret hal ghaxaq,ghaxaq,2025-07-29 18:00:00,35.848783,14.5251465
article_490183.0,ta' liesse,valletta,2025-07-27 22:00:00,35.8953521,14.5135698
release_85,hompesch street,fgura,2025-07-27 15:30:00,35.8723089,14.5218635
article_450529.0,tower road,sliema,2025-07-27 15:30:00,35.9148787,14.497752
article_386207.0,triq santandrija,pembroke,2025-07-26 01:00:00,35.9234324,14.4824207
release_77,salina road,naxxar,2025-07-24 10:15:00,35.9369975,14.4339269
article_353525.0,triq san anard,tarxien,2025-07-24 04:30:00,35.8626801,14.5167088
release_7,mosta road,lija,2025-07-23 10:30:00,35.9046481,14.4443042
release_69,triq tas-sliema,gzira,2025-07-23 09:30:00,35.9052523,14.4905482
article_450477.0,triq il-buqana,rabat,2025-07-19 12:30:00,35.87684,14.39321
release_110,triq il-wied ta birkirkara,birkirkara,2025-07-17 22:15:00,35.8964103,14.4631382
article_130030.0,triq l-imqabba,mqabba,2025-07-17 17:00:00,35.8483999,14.4815704
article_141175.0,rue d'argens,gzira,2025-07-16 13:15:00,35.9066493,14.4936073
article_495969.0,mount carmel hospital,h'attard,2025-07-16 00:00:00,35.89178,14.43792
release_98,triq melqart,marsaxlokk,2025-07-14 11:00:00,35.8431644,14.5429351
release_74,triq dun manwel zammit,siggiewi,2025-07-10 06:30:00,35.8578333,14.4358665
article_139548.0,triq mikiel anton vassalli,msida,2025-07-09 18:30:00,35.8981962,14.4867393
release_32,triq iz-zejfa,mosta,2025-07-06 18:00:00,35.91211,14.41467
article_190828.0,triq iz-zejfa,mosta,2025-07-06 00:00:00,35.91211,14.41467
article_113265.0,triq il-kbira,mellieha,2025-07-05 11:00:00,35.95614,14.36102
article_297729.0,ta' giorni tunnels,swieqi,2025-07-02 12:30:00,35.89736,14.49371
release_45,triq borg gharib,ghajnsielem,2025-07-01 21:15:00,36.0313836,14.2920442
article_287.0,regional road,msida,2025-06-25 07:00:00,35.9034355,14.4867323
article_313.0,regional road,gzira,2025-06-23 08:45:00,35.9034355,14.4867323
release_35,triq l-imdina,haz-zebbug,2025-06-19 22:00:00,35.874767,14.4608589
release_2,triq dawret il-gudja,gudja,2025-06-19 18:30:00,35.84692,14.49538
article_361.0,pinto wharf,floriana,2025-06-19 13:15:00,35.8902423,14.5081438
article_404.0,triq hal farrug,luqa,2025-06-19 10:15:00,35.8566303,14.4685956
article_404.0,triq hal farrug,luqa,2025-06-19 10:15:00,35.8566303,14.4685956
article_407.0,triq president anton buttigieg,zejtun,2025-06-19 06:30:00,35.8503003,14.532077
article_381.0,triq dawret il-gudja,gudja,2025-06-19 00:00:00,35.84692,14.49538
article_408.0,triq l-imdina,zebbug,2025-06-18 22:00:00,35.874767,14.4608589
release_14,triq sant elizabetta,xewkija,2025-06-13 22:00:00,36.0355961,14.2592552
release_81,triq villabate,marsascala,2025-06-12 10:00:00,35.8625547,14.5506421
release_9,john adye street,naxxar,2025-06-11 15:45:00,35.91342,14.44688
article_640.0,triq ix-xatt juan b azopardo,senglea,2025-06-07 17:00:00,35.88794,14.51784
article_640.0,triq ix-xatt juan b azopardo,senglea,2025-06-07 17:00:00,35.88794,14.51784
article_685.0,triq paredes,st paul's bay,2025-06-06 20:30:00,35.948315,14.4021162
article_654.0,triq ix-xatt juan b azopardo,senglea,2025-06-06 17:30:00,35.88794,14.51784
article_654.0,triq ix-xatt juan b azopardo,senglea,2025-06-06 17:30:00,35.88794,14.51784
article_679.0,triq l-imgarr,xewkija,2025-06-06 17:30:00,36.02573,14.29241
article_751.0,kennedy drive,st pauls bay,2025-06-04 23:00:00,35.9441317,14.4167385
release_51,kennedy drive,st pauls bay,2025-06-04 21:15:00,35.9441317,14.4167385
release_29,xatt l-ghassara tal-gheneb,marsa,2025-06-04 07:30:00,35.8863417,14.5019071
article_760.0,marfa road,mellieha,2025-06-03 04:30:00,35.9670439,14.3518793
article_894.0,xemxija bypass,xemxija,2025-05-27 12:30:00,35.9469478,14.3994613
article_894.0,xemxija bypass,xemxija,2025-05-27 12:30:00,35.9469478,14.3994613
release_86,triq ic-cern,bugibba,2025-05-26 13:15:00,35.9509624,14.4150454
article_974.0,triq c-cern,bugibba,2025-05-25 13:15:00,35.95214,14.42463
release_62,aldo moro street,marsa,2025-05-24 07:15:00,35.8772393,14.4948062
article_1034.0,road leading to ghajn tuffieha,mgarr,2025-05-22 00:00:00,,
article_1165.0,triq dawret il-mellieha,mellieha,2025-05-17 18:30:00,35.95678,14.36241
release_34,regional road,santa venera,2025-05-15 17:45:00,35.9034355,14.4867323
article_1227.0,regional road,santa venera,2025-05-14 17:45:00,35.9034355,14.4867323
article_1274.0,triq santu wistin,st julians,2025-05-13 08:00:00,35.9241978,14.488164
article_1275.0,st joseph high road,hamrun,2025-05-12 09:45:00,35.8888764,14.4780228
release_3,valley road,qormi,2025-05-12 08:00:00,35.89784,14.49012
release_13,zabbar road,fgura,2025-05-08 10:15:00,35.8724128,14.5203406
release_13,zabbar road,fgura,2025-05-08 10:15:00,35.8724128,14.5203406
release_24,triq ghar dalam,birzebbuga,2025-05-07 13:15:00,35.8417603,14.5279126
release_23,triq l. zamenhof corner with triq xmiexi,msida,2025-05-07 10:00:00,35.8978569,14.484983
release_26,december 13 road,marsa,2025-05-04 14:30:00,35.8786271,14.4913829
article_1489.0,triq ix-xaghra,xaghra,2025-05-02 17:00:00,36.0404174,14.2577713
release_71,triq l-imgarr,mgarr,2025-05-02 15:30:00,36.02573,14.29241
release_90,triq kordin,paola,2025-04-25 22:00:00,35.876336,14.5045036
release_12,cospicua seafront,cospicua,2025-04-22 13:00:00,35.8849,14.5217
article_1718.0,burmarrad street,st paul's bay,2025-04-18 13:30:00,35.9246697,14.4160186
release_61,triq iz-zejfa,mosta,2025-04-18 02:00:00,35.91211,14.41467
article_1769.0,triq hal luqa,luqa,2025-04-17 13:00:00,35.8628353,14.498719
article_1769.0,triq hal luqa,luqa,2025-04-17 13:00:00,35.8628353,14.498719
release_33,tal-barrani road,zejtun,2025-04-17 09:30:00,35.85431,14.52877
release_16,luqa road,luqa,2025-04-17 00:00:00,35.8628353,14.498719
release_6,triq aldo moro,marsa,2025-04-15 08:50:00,35.8772393,14.4948062
release_76,birzebbuga road,birzebbuga,2025-04-13 17:45:00,35.8417603,14.5279126
article_1856.0,coast road,naxxar,2025-04-13 15:15:00,35.9462438,14.4481762
release_103,triq marsaxlokk,marsaxlokk,2025-04-13 08:00:00,35.8469004,14.5314513
release_5,triq il-buqana,rabat,2025-04-06 20:45:00,35.87684,14.39321
release_96,triq zaghfran,attard,2025-04-06 08:30:00,35.8892272,14.4396691
article_2080.0,st paul street,naxxar,2025-04-01 09:00:00,35.9467503,14.3916683
release_64,tal-balal road,san gwann,2025-03-28 10:45:00,35.90892,14.47411
article_2201.0,triq mons mikel azzopardi,siggiewi,2025-03-26 00:00:00,35.83296,14.44018
article_2259.0,triq ir-rabat,nadur,2025-03-22 13:30:00,36.0672705,14.259524
article_2301.0,triq l-imgarr,ghajnsielem,2025-03-22 05:45:00,36.02573,14.29241
release_11,coast road,naxxar,2025-03-16 08:00:00,35.9462438,14.4481762
article_2419.0,vjal il-helsien,zebbug,2025-03-16 08:00:00,35.8736616,14.4449743
article_2419.0,vjal il-helsien,zebbug,2025-03-16 08:00:00,35.8736616,14.4449743
article_2461.0,triq ghajn dwieli,paola,2025-03-14 22:30:00,35.8772491,14.5138522
article_2452.0,triq buqana,rabat,2025-03-14 10:00:00,35.8919893,14.4089334
article_2492.0,triq ir-rabat,zebbug,2025-03-13 14:45:00,36.0672705,14.259524
article_2557.0,triq san pawl,st paul's bay,2025-03-08 19:30:00,35.9467503,14.3916683
article_2666.0,triq aldo moro,marsa,2025-03-03 07:00:00,35.8772393,14.4948062
article_2658.0,triq l-imgarr,xewkija,2025-03-03 07:00:00,36.02573,14.29241
article_2745.0,triq il-kappillan mifsud,hamrun,2025-02-24 23:45:00,35.88641,14.48827
article_2792.5,triq marfa,mellieha,2025-02-24 14:15:00,35.9670439,14.3518793
release_19,triq nazzjonali,floriana,2025-02-21 13:30:00,35.9034355,14.4867323
release_17,triq il-bacir,paola,2025-02-21 07:30:00,35.87541,14.51328
release_42,triq hompesch,fgura,2025-02-19 18:00:00,35.8723089,14.5218635
release_42,triq hompesch,fgura,2025-02-19 18:00:00,35.8723089,14.5218635
article_2940.0,hal far road,birzebbuga,2025-02-17 13:00:00,35.84792,14.5129
release_48,giorgio borg olivier street,victoria,2025-02-17 12:45:00,36.04447,14.23953
article_2974.0,triq il-kilpa,siggiewi,2025-02-16 11:00:00,35.83247,14.43691
release_41,valley road,iklin,2025-02-15 00:00:00,35.89784,14.49012
article_3001.0,triq il-wied,iklin,2025-02-14 23:45:00,35.90473,14.45781
article_3090.0,kirkop tunnels,kirkop,2025-02-10 21:00:00,35.8628353,14.498719
release_43,triq santantnin,marsascala,2025-02-09 09:45:00,35.862551,14.5587173
release_102,triq is-sorijiet,tarxien,2025-02-09 01:30:00,35.8702636,14.5103851
release_100,triq ir-rabat,zebbug,2025-02-08 21:00:00,36.0672705,14.259524
article_3169.0,labour avenue,naxxar,2025-02-06 08:00:00,35.91438,14.44251
release_107,vjal l-istadium nazzjonali,attard,2025-02-05 09:00:00,35.8905211,14.4223
article_3197.0,triq alfredo cachia zammit,zejtun,2025-02-04 11:30:00,35.8565578,14.5306657
release_79,triq il-palma,paola,2025-02-03 19:00:00,35.8709648,14.5040803
release_470,rue d'argens st,gzira,2025-02-01 12:45:00,35.9066493,14.4936073
release_47,hal farrug rd,luqa,2025-02-01 05:00:00,35.85463,14.48697
release_54,coast road,naxxar,2025-01-25 14:30:00,35.9462438,14.4481762
article_3408.0,coast road,salini,2025-01-25 13:00:00,35.9462438,14.4481762
release_40,mikiel anton vassalli street,msida,2025-01-23 20:15:00,35.8981962,14.4867393
release_105,triq rodolfu,sliema,2025-01-22 18:00:00,35.9104721,14.4987943
article_102356.0,triq it-turisti,st paul's bay,2025-01-20 00:00:00,35.95031,14.40688
article_3551.0,triq il-fortizza tal-mosta,naxxar,2025-01-16 10:15:00,35.92741,14.45192
release_88,blue grotto avenue,zurrieq,2025-01-15 19:30:00,35.8298773,14.4695035
article_3586.0,triq guze' howard corner with triq ghar id-dud,sliema,2025-01-15 16:45:00,35.91672,14.50203
article_3601.0,anton cassar street,marsa,2025-01-15 07:45:00,35.8801056,14.4930563
release_800,triq tal-barrani,zejtun,2025-01-15 07:45:00,35.85431,14.52877
article_3671.0,triq gheriexem,rabat,2025-01-09 11:00:00,35.8847418,14.3972858
release_27,triq l-imdina,attard,2025-01-06 21:20:00,35.874767,14.4608589
article_3699.0,mdina road,attard,2025-01-06 21:00:00,35.874767,14.4608589
release_84,triq hompesh,fgura,2025-01-06 20:00:00,35.8723089,14.5218635
article_3766.0,birkirkara bypass,birkirkara,2025-01-05 07:00:00,35.9003979,14.4751653
release_10,st james square,zabbar,2024-12-28 09:15:00,35.87334,14.53592
release_56,triq il-hotba,zejtun,2024-12-27 12:00:00,35.85592,14.53341
article_3900.0,triq il-hotba,zejtun,2024-12-27 11:30:00,35.85592,14.53341
release_25,triq dicembru tlettax,marsa,2024-12-27 07:45:00,35.8786271,14.4913829
release_59,mikiel anton vassalli street,st julians,2024-12-25 15:30:00,35.8981962,14.4867393
article_3910.0,regional road,msida,2024-12-23 10:30:00,35.9034355,14.4867323
article_3704.0,triq sir philip pullicino,mtarfa,2024-12-22 10:15:00,35.8903766,14.3931157
release_68,salini street,naxxar,2024-12-22 09:30:00,35.9369975,14.4339269
article_3976.5,triq san gwann,sliema,2024-12-20 11:45:00,35.9107529,14.5000793
article_3976.0,triq in-naxxar,birkirkara,2024-12-20 11:30:00,35.8980141,14.4596416
article_3991.0,tul il-kosta,naxxar,2024-12-20 00:00:00,35.9462438,14.4481762
release_108,triq il-germanja,naxxar,2024-12-19 10:45:00,35.9089538,14.440024
release_63,triq il-kannizzata,balzan,2024-12-19 08:15:00,35.8963504,14.4561623
article_3989.0,triq dicembru tlettax,blata l-bajda,2024-12-19 00:00:00,35.8786271,14.4913829
article_4014.0,triq mons mikiel azzopardi,siggiewi,2024-12-17 14:15:00,35.83296,14.44018
article_4049.0,triq l-imgarr,xewkija,2024-12-15 20:30:00,36.02573,14.29241
release_22,dawret il-gudja,gudja,2024-12-13 19:45:00,35.8522112,14.4985812
release_91,triq il-marfa,mellieha,2024-12-13 17:30:00,35.9670439,14.3518793
article_4024.0,st pauls bay bypass,st pauls bay,2024-12-11 17:00:00,35.9469478,14.3994613
release_83,triq e. bradford,naxxar,2024-12-11 11:15:00,35.9210351,14.4383658
article_4208.0,regional road,st julian's,2024-12-04 17:00:00,35.9034355,14.4867323
article_495942.0,triq censu tabone,st pauls bay,2024-09-23 00:00:00,35.94988,14.40962
article_495320.0,naxxar road,birkirkara,2024-03-19 00:00:00,35.8980141,14.4596416
article_3558.0,regional road,st julian's,2023-10-22 22:00:00,35.9034355,14.4867323
article_167578.0,december 13 road,st paul's bay,2023-10-01 00:00:00,35.8786271,14.4913829
article_3861.0,triq il-madliena,swieqi,2022-09-24 00:00:00,35.92788,14.48096
article_490632.0,aldo moro road,marsa,2022-02-01 00:00:00,35.8772393,14.4948062
article_1352.0,triq ghar lapsi,siggiewi,2020-05-02 08:00:00,35.83321,14.43274
article_353524.0,triq wied bladun,paola,2018-03-13 00:00:00,35.87264,14.50788
article_2101.0,triq sir temi zammit,mgarr,2017-08-20 15:25:00,35.9240642,14.3752357
article_3834.0,triq il-mithna,qormi,2006-12-17 00:00:00,35.8830183,14.4734016
